coordinate	declared_license_names	license_urls	license_evidence_coordinate	pom_sha256	verified_artifacts
androidx.activity:activity:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.activity:activity:1.0.0	27a4be7462629c312da0b831a0978d2076fc34074145fb61dd4e86d7c8469b82	activity-1.0.0.aar | activity-1.0.0.pom
androidx.activity:activity:1.13.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.activity:activity:1.13.0	a5c53e074754835d30621618616e783b5b71875c2e7988ab06082348152e314e	activity-1.13.0.aar | activity-1.13.0.module
androidx.activity:activity:1.2.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.activity:activity:1.2.1	9edbb5f2e96cadc0e1ca045b27e78c64a21a90e479b3fd06833dee7cd0b2efbe	activity-1.2.1.aar | activity-1.2.1.module
androidx.activity:activity:1.8.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.activity:activity:1.8.2	db0c1670a2f1768e10fb9ba66c841007217678abbc66bfbb1ef1c20a53249c08	activity-1.8.2.aar | activity-1.8.2.module
androidx.activity:activity-compose:1.13.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.activity:activity-compose:1.13.0	cb6a8ff89ffb7f107f214050e9fb32b0d0b0f665d8de7c9e4e2a4d5fea9951e9	activity-compose-1.13.0.aar | activity-compose-1.13.0.module
androidx.activity:activity-compose:1.3.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.activity:activity-compose:1.3.0	7c500d944b123d99f45768f0b2caad7ca948ceef687dc4436d65edc16494b759	activity-compose-1.3.0.module
androidx.activity:activity-compose:1.8.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.activity:activity-compose:1.8.2	26b69d9149961c0e6eb4f7c649d617b35d75ba41e13eaad02e375d030613bb79	activity-compose-1.8.2.aar | activity-compose-1.8.2.module
androidx.activity:activity-ktx:1.13.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.activity:activity-ktx:1.13.0	79d63d7b13c43f92faf63ade9fc6a4ab45e8e42493dbaa138c7a736184a4c775	activity-ktx-1.13.0.aar | activity-ktx-1.13.0.module
androidx.activity:activity-ktx:1.7.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.activity:activity-ktx:1.7.0	7049a3ae4da9caf350a2332ba0b10225dee8be8854d608a837be97d22a7193c8	activity-ktx-1.7.0.module
androidx.activity:activity-ktx:1.8.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.activity:activity-ktx:1.8.2	3fd39fb96d84ce50b17a61c8a1584974851cd383357545567326c94a7171cedc	activity-ktx-1.8.2.aar | activity-ktx-1.8.2.module
androidx.annotation:annotation:1.6.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.annotation:annotation:1.6.0	dd882b4c1945ad13121ecdf651eba664a9b226b55db84fa755392de5e10d1e5b	annotation-1.6.0.module
androidx.annotation:annotation:1.7.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.annotation:annotation:1.7.0	21c618ac8c7092dd95193f05c0b196183a7ce8f1366a7a912c800ebee368a858	annotation-1.7.0.module
androidx.annotation:annotation:1.8.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.annotation:annotation:1.8.1	b71225974ec087eb96c25ef6819f55b1c22f530e85ca446ba735fb66ed04ff5c	annotation-1.8.1.module
androidx.annotation:annotation:1.9.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.annotation:annotation:1.9.1	c733881c2e17d5f7c8661cc02a9159cb160b7b2094a27d593916c87d3e250636	annotation-1.9.1.module
androidx.annotation:annotation-experimental:1.3.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.annotation:annotation-experimental:1.3.1	426f94310b47bdf004dc2038daeaa943c5ce4f4b063e86f78bc536e232e3ddfc	annotation-experimental-1.3.1.module
androidx.annotation:annotation-experimental:1.4.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.annotation:annotation-experimental:1.4.1	fe57b228417f4d7c677903dc61fb4a7cf993d603499de26d8d8113e477cc4f1b	annotation-experimental-1.4.1.aar | annotation-experimental-1.4.1.module
androidx.annotation:annotation-experimental:1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.annotation:annotation-experimental:1.5.0	7a94595399931c25a49f9af93daa4e977dc2d375458e4e74bb8d35ebcb51848d	annotation-experimental-1.5.0.aar | annotation-experimental-1.5.0.module
androidx.annotation:annotation-jvm:1.7.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.annotation:annotation-jvm:1.7.0	2d3fcc12e707886992039266237f451140caa8f94c1e62e7fc4d602de345b0d7	annotation-jvm-1.7.0.module
androidx.annotation:annotation-jvm:1.8.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.annotation:annotation-jvm:1.8.1	d49203733aa6fae046c3a3de4e796eed347595755486a64273989844759750b4	annotation-jvm-1.8.1.jar | annotation-jvm-1.8.1.module
